,model,mAP_no_Context,A1_NO_CONTEXT
0,NCC,0.5943518518518518,0.4666666666666667
1,NorGPT-369M,0.5640599279835391,0.5370370370370371
2,NorGPT-3B,0.47773019547325096,0.4185185185185185
3,NorGPT-3B-continue,0.45536265432098766,0.4166666666666667
4,NorLlama-3B,0.7130401234567901,0.6703703703703704
5,bert-base-multilingual-cased,0.06592592592592593,0.0
6,bert-base-multilingual-uncased,0.2695807613168724,0.225
7,nb-bert-base,0.378179012345679,0.32685185185185184
8,nb-bert-large,0.5378292181069958,0.4722222222222222
9,norbert,0.2473855452674897,0.1814814814814815
10,norbert2,0.44447916666666665,0.33796296296296297
11,norbert3-base,0.6262885802469136,0.5805555555555556
12,norbert3-large,0.5984143518518519,0.5518518518518518
13,norbert3-small,0.5933963477366255,0.5453703703703704
14,norbert3-xs,0.29021733539094646,0.16111111111111112
15,norbloom-7b-scratch,0.4598804012345679,0.3425925925925926
16,normistral-7b-scratch,0.3828922325102881,0.29074074074074074
17,normistral-7b-warm,0.630857767489712,0.537962962962963
